Pdt,stream,treatment,GPP_L95per,GPP_median,GPP_U95per,ER_L95per,ER_median,ER_U95per,LightPerDay,meanTemp,meanQds,meanDepthM,meanWidthM,pmax,alpha,julian,one_over_kT,monthday,P_R,NEP
6/5/15,st6,ambient,6.389591548,10.33180019,14.28852838,-2.289301879,-1.514391858,-0.716929373,2550561832,13.35732985,0.022897004,0.058636118,1.32,0.050704515,1.65E-06,156,40.50340393,5-Jun,6.822408702,8.817408332
6/6/15,st6,ambient,6.99877003,11.71447353,16.19915468,-2.825442638,-1.907997819,-0.961989084,5639680018,13.35511525,0.021950249,0.058787912,1.32,0.059451353,9.15E-07,157,40.50371701,6-Jun,6.139668197,9.806475711
6/7/15,st6,ambient,5.025868998,8.081403676,10.96123399,-1.38553753,-0.95371567,-0.476537963,2634118768,12.90413614,0.023342081,0.05851733,1.32,0.045279404,1.38E-06,158,40.56757321,7-Jun,8.473598506,7.127688006
6/8/15,st6,ambient,3.870974034,6.176705337,8.471419938,-0.251669478,-0.168618962,-0.088751085,605945865,12.26941823,0.025758081,0.057438158,1.32,0.030872469,2.70E-06,159,40.6577877,8-Jun,36.63114316,6.008086375
6/9/15,st6,ambient,5.254037006,8.71218059,11.89811746,-0.607069077,-0.397884675,-0.210121461,1517525173,12.63036838,0.023415052,0.058296298,1.32,0.044396953,2.00E-06,160,40.60643555,9-Jun,21.89624566,8.314295915
6/10/15,st6,ambient,6.23682379,9.628341556,12.84233063,-2.000645765,-1.36560449,-0.719359502,1435697459,13.20537918,0.02161533,0.058899423,1.32,0.05323293,2.63E-06,161,40.52489652,10-Jun,7.050607717,8.262737066
6/11/15,st6,ambient,6.561483352,11.15869545,15.27722533,-1.220734578,-0.810705981,-0.395378458,3601655959,13.38516992,0.021767821,0.058844706,1.32,0.05620846,1.92E-06,162,40.49946858,11-Jun,13.76417063,10.34798947
6/12/15,st6,ambient,7.167570757,11.46377293,15.97968051,-2.696424057,-1.806226707,-0.926859117,2303574788,13.07478099,0.021055885,0.058942373,1.32,0.058860967,2.00E-06,163,40.54338716,12-Jun,6.346807345,9.657546223
6/13/15,st6,ambient,7.687724862,12.24879046,16.25693829,-3.034412556,-2.024137735,-1.075733562,4854097440,13.60952925,0.020358449,0.058963681,1.32,0.069181634,1.28E-06,164,40.46778198,13-Jun,6.051362142,10.22465273
6/14/15,st6,ambient,7.590762214,12.7227787,17.21107779,-3.928882654,-2.605720139,-1.250393549,4627648999,13.62520241,0.019817948,0.058951436,1.32,0.07386588,1.33E-06,165,40.46557029,14-Jun,4.882634366,10.11705856
6/15/15,st6,ambient,7.28137861,11.72461357,15.68708777,-3.936841367,-2.681863576,-1.238817433,2576299601,13.2158649,0.020750435,0.058983545,1.32,0.067754819,2.04E-06,166,40.52341264,15-Jun,4.371815806,9.042749994
6/17/15,st6,ambient,4.501697488,7.332909162,9.883284638,-2.571694906,-1.773669663,-0.933572675,1034424161,12.90371535,0.034001718,0.051917037,1.32,0.024425191,1.32E-06,168,40.56763289,17-Jun,4.134315039,5.559239499
6/18/15,st6,ambient,4.38852081,7.022038983,9.933469915,-1.328357994,-0.903982562,-0.462827831,1010728925,13.0165124,0.034896083,0.051184091,1.32,0.023416721,1.31E-06,169,40.55164251,18-Jun,7.767892079,6.118056421
6/19/15,st6,ambient,4.822838903,8.299637936,11.59528243,-2.650381238,-1.735809978,-0.881855646,1326675158,13.08942548,0.033070166,0.05266518,1.32,0.029845101,1.21E-06,170,40.54131289,19-Jun,4.781420801,6.563827958
6/20/15,st6,ambient,7.228435322,11.56506813,15.77313002,-4.156745695,-2.838245763,-1.477935221,2572411782,13.72976495,0.0307966,0.05440441,1.32,0.044060927,1.13E-06,171,40.45082131,20-Jun,4.074724001,8.726822367
6/21/15,st6,ambient,8.286546259,13.57113166,18.55279545,-6.668201382,-4.396900696,-2.233934524,3700551688,14.27290299,0.030955874,0.05427518,1.32,0.048158387,1.02E-06,172,40.3743821,21-Jun,3.086522212,9.174230964
6/24/15,st6,ambient,8.628853448,13.56490269,18.08922622,-11.3858074,-7.747841663,-3.879313217,3650325379,14.13684029,0.029405003,0.0553819,1.32,0.05471152,1.62E-06,175,40.39350392,24-Jun,1.750797613,5.817061027
6/25/15,st6,ambient,9.444138264,16.03256767,21.9414238,-12.78241704,-8.825431806,-4.965648575,4429007218,14.25322222,0.028487718,0.05599286,1.32,0.061283704,1.57E-06,176,40.37714686,25-Jun,1.816632661,7.207135864
6/26/15,st6,ambient,8.014798294,12.87391679,17.60247208,-16.13346581,-10.96777084,-5.936637645,2757015500,13.68132707,0.028949167,0.055686437,1.32,0.044299129,1.28E-06,177,40.45765234,26-Jun,1.173795202,1.90614595
6/27/15,st6,ambient,8.19429566,13.05455475,17.94934471,-13.15318797,-8.859795737,-4.834897644,2766068950,13.85176618,0.027963354,0.056297517,1.32,0.056442785,1.62E-06,178,40.43362612,27-Jun,1.473460014,4.194759013
