"","stream","X","date","max.DS.spcon.time","Q_DS","Q_US","temp_DS","temp_US","ttS","Qt_Qb","DS_stdSlope","US_stdSlope","Pdt","Date","Time","Release","int","slope","int_se","slope_se","lin_p","df.res","r2","streamR","QPdt","DaysRmQ","lg_m","ttSlope","ttSlopeSE","ttInt","ttIntSE","ttLmR2","ttLmPval","ttSmean","sig","predTtS","ttStoUse","Vms","KSF6","KO2_ambT","K_O2_T20"
"1","hver",1,"8/3/12","2012-08-03 13:58:33",8.53,5.8,33.8,35.1,375,0.68,0.27,0.28,"2012-08-06 13:57:00","8/6/12","13:57",11,-1.67226272619805,-0.0139535779789665,0.023921369243443,0.000483284640208738,1.57656534227644e-16,18,0.978863672286402,"hver","2012-08-03 13:58:33",2.99892361111111,70,-0.468469738029493,0.0964512279112751,2.91795335666371,0.130231622347354,0.825120195314978,0.00464505544315482,235.714285714286,"S",303.27171549568,375,0.186666666666667,0.00260466788940708,0.00364653504516991,227.119661671941
"2","hver",2,"5/13/13","2013-05-13 14:13:00",16.20268211,15.5357171,28.65221323,29.55739541,276,0.958836136,NA,NA,"2013-05-13 15:30:00","5/13/13","15:30",35,-2.91168466797727,-0.00733245003623355,0.0342539657601421,0.000692034613472237,3.64050954607727e-09,18,0.861819644999485,"hver","2013-05-13 14:13:00",0.0534722222222222,70,-0.468469738029493,0.0964512279112751,2.91795335666371,0.130231622347354,0.825120195314978,0.00464505544315482,235.714285714286,"S",224.5424687154,276,0.253623188405797,0.00185967935701576,0.00260355109982206,183.215590797692
"3","OH2",3,"8/14/12","2012-08-14 14:20:39",14.12,13.47,12.7,11.7,297,0.95,0.27,0.27,"2012-08-06 18:42:00","8/6/12","18:42",12,-2.50319908728129,-0.00864391418403347,0.196947167822084,0.00415709486276062,0.0521578822989858,18,0.193676826226715,"OH2","2012-08-14 14:20:39",-7.81850694444444,67,-0.238900495772381,0.0897729273001473,2.81339139369389,0.1059420144689,0.294072544888198,0.0164542208476772,374.842105263158,"S",345.696764299876,297,0.225589225589226,0.00194997390683583,0.00272996346957017,280.453110813408
"4","OH2",4,"5/13/13","2013-05-13 12:02:00",11.28341858,10.77629023,10.06056191,9.297970864,306,0.955055434,NA,NA,"2013-05-13 12:30:00","5/13/13","12:30",36,-3.72165008406331,-0.00318607165628745,0.107037684906991,0.00225931560717141,0.175529346362101,18,0.0994887369401014,"OH2","2013-05-13 12:02:00",0.0194444444444444,67,-0.238900495772381,0.0897729273001473,2.81339139369389,0.1059420144689,0.294072544888198,0.0164542208476772,374.842105263158,"S",364.72269545868,306,0.218954248366013,0.000697603924742677,0.000976645494639748,106.813580866736
"5","st1",5,"5/29/12","2012-05-29 09:46:00",45.39,42.81,16.9,17.1,760,0.94,0.27,0.27,"2012-05-30 17:10:00","5/30/12","17:10",5,-1.54797274261216,-0.00202530716150993,0.0455203634557538,0.000404877455114966,9.23860490482326e-05,18,0.581616462295594,"st1","2012-05-29 09:46:00",1.30833333333333,152,-0.883090444455382,0.123945622212751,4.31757782699723,0.160909133819202,0.894297495416078,0.000384698612154769,2012,"S",715.0429396558,760,0.2,0.000405061432301986,0.00056708600522278,52.7342213489006
"6","st1",6,"10/18/12","2012-10-18 16:06:09",11.18,11.42,9.9,10.3,1443,1.02,0.32,0.33,"2012-10-18 17:15:00","10/18/12","17:15",14,2.10741219722138,-0.00110666433933615,0.0612095295331037,0.000595505017099202,0.0740524688098456,27,0.113402752616792,"st1","2012-10-18 16:06:09",0.0478125,152,-0.883090444455382,0.123945622212751,4.31757782699723,0.160909133819202,0.894297495416078,0.000384698612154769,2012,"S",2464.38688397697,1443,0.105336105336105,0.000116571711420024,0.000163200395988034,17.9169677811301
"7","st1",7,"5/6/13","2013-05-06 13:26:00",16.17604396,16.55020996,15.447125,14.8865133,2031,1.023130872,NA,NA,"2013-05-06 17:30:00","5/6/13","17:30",23,3.78115682014908,-0.00469491755590418,0.0272040380587078,0.000241964274049927,1.62372378925783e-13,18,0.954371467036897,"st1","2013-05-06 13:26:00",0.169444444444444,152,-0.883090444455382,0.123945622212751,4.31757782699723,0.160909133819202,0.894297495416078,0.000384698612154769,2012,"S",1778.41959135545,2031,0.0748399803052683,0.000351367537418727,0.000491914552386218,47.3475845352684
"8","st11L",8,"6/12/12","2012-06-12 12:18:12",11.25,11.25,8,8,NA,NA,NA,0.32,"2012-06-12 15:00:00","6/12/12","15:00",7,-2.32013327820209,-0.0144093116024582,0.0424167366417462,0.00103424696948906,4.40578274724462e-11,18,0.915136591009381,"st11L","2012-06-12 12:18:12",0.112361111111111,58,-0.652847531616397,0.0855365863170384,3.35005339296859,0.0977131634677323,0.906619420780284,0.000263904792776194,449.333333333333,"S",461.116925345098,461.116925345098,0.125781546527691,0.00181242549775659,0.00253739569685922,291.407967070513
"9","st11L",9,"10/28/12","2012-10-28 13:37:57",12.06,10.97,4.3,4.3,375,0.91,0.31,0.32,"2012-10-28 13:40:00","10/28/12","13:40",20,2.44651266294104,-0.0104097590785466,0.0761384382642177,0.00185648296570971,2.543907209332e-05,18,0.635931329986954,"st11L","2012-10-28 13:37:57",0.00142361111111111,58,-0.652847531616397,0.0855365863170384,3.35005339296859,0.0977131634677323,0.906619420780284,0.000263904792776194,449.333333333333,"S",440.654766564303,375,0.154666666666667,0.00161004273748187,0.00225405983247462,282.610635494064
"10","st11L",10,"5/9/13","2013-05-09 17:22:00",10.71391466,NA,6.440198322,NA,NA,NA,NA,NA,"2013-05-09 19:00:00","5/9/13","19:00",28,2.93129071934019,-0.0180346424105119,0.0512302722798962,0.00124914734245337,2.43905921234122e-11,18,0.920509867825173,"st11L","2013-05-09 17:22:00",0.0680555555555555,58,-0.652847531616397,0.0855365863170384,3.35005339296859,0.0977131634677323,0.906619420780284,0.000263904792776194,449.333333333333,"S",476.05185761631,476.05185761631,0.121835466183071,0.0021972590655297,0.00307616269174158,366.596582847205
"11","st11U",11,"7/30/12","2012-07-30 13:21:15",4.46,3.74,10.9,10.9,672,0.84,0.28,0.28,"2012-07-30 14:36:00","7/30/12","14:36",9,-2.44153244383408,-0.0197360623095971,0.0376630232433181,0.00103625599748392,2.23660551135907e-13,18,0.952722756933961,"st11U","2012-07-30 13:21:15",0.0519097222222222,51.4,-0.697970770295037,0.0483084544953484,3.23162396129614,0.0404300499970822,0.963091257929646,5.15097649210182e-07,513.2,"S",600.353725203192,672,0.0764880952380952,0.00150957381356144,0.00211340333898602,226.582172803359
"12","st11U",12,"10/28/12","2012-10-28 15:48:21",4.92,4.89,4.5,4.6,501,0.99,0.31,0.33,"2012-10-28 16:57:00","10/28/12","16:57",21,3.04363474249524,-0.0189383428714996,0.0714962165815552,0.00196713850482489,1.59699613599567e-08,18,0.837377785973449,"st11U","2012-10-28 15:48:21",0.0476736111111111,51.4,-0.697970770295037,0.0483084544953484,3.23162396129614,0.0404300499970822,0.963091257929646,5.15097649210182e-07,513.2,"S",560.599292724216,501,0.102594810379242,0.00194297569579856,0.00272016597411799,339.436448059676
