"","parameter","date","stream","priorMean","priorSD","postL95","postMedian","postU95","julian"
"1","Alpha",2015-07-02,"st11U",9.43e-07,2.36e-07,4.7e-07,9.37e-07,1.43e-06,183
"2","Alpha",2015-07-03,"st11U",7.87e-07,1.97e-07,4.08e-07,7.69e-07,1.16e-06,184
"3","Alpha",2015-07-04,"st11U",9.98e-07,2.5e-07,5.36e-07,1e-06,1.5e-06,185
"4","Alpha",2015-07-05,"st11U",1.37e-06,3.43e-07,6.98e-07,1.36e-06,2.02e-06,186
"5","Alpha",2015-07-06,"st11U",1.04e-06,2.59e-07,5.39e-07,1.04e-06,1.52e-06,187
"6","Alpha",2015-07-07,"st11U",1.28e-06,3.19e-07,6.08e-07,1.27e-06,1.94e-06,188
"7","Alpha",2015-07-08,"st11U",1.38e-06,3.45e-07,7.9e-07,1.38e-06,2.1e-06,189
"8","Alpha",2015-07-09,"st11U",1.59e-06,3.97e-07,8.21e-07,1.55e-06,2.27e-06,190
"9","Alpha",2015-07-10,"st11U",1.32e-06,3.3e-07,6.64e-07,1.3e-06,1.91e-06,191
"10","Alpha",2015-07-11,"st11U",1.25e-06,3.11e-07,6.49e-07,1.23e-06,1.88e-06,192
"11","Alpha",2015-07-12,"st11U",1.24e-06,3.1e-07,6.48e-07,1.23e-06,1.81e-06,193
"12","Alpha",2015-07-14,"st11U",1.76e-06,4.4e-07,9.29e-07,1.79e-06,2.63e-06,195
"13","Alpha",2015-07-15,"st11U",1.39e-06,3.47e-07,7.03e-07,1.39e-06,2.03e-06,196
"14","Alpha",2015-07-16,"st11U",1.4e-06,3.51e-07,7.65e-07,1.44e-06,2.11e-06,197
"15","Alpha",2015-07-17,"st11U",1.59e-06,3.98e-07,8.6e-07,1.63e-06,2.4e-06,198
"16","Alpha",2015-07-18,"st11U",1.17e-06,2.92e-07,6.25e-07,1.18e-06,1.74e-06,199
"17","Alpha",2015-07-19,"st11U",1.44e-06,3.59e-07,7.38e-07,1.42e-06,2.17e-06,200
"18","Alpha",2015-07-20,"st11U",1.71e-06,4.27e-07,8.39e-07,1.67e-06,2.44e-06,201
"19","Alpha",2015-07-21,"st11U",1.54e-06,3.85e-07,8.2e-07,1.55e-06,2.23e-06,202
"20","Alpha",2015-07-22,"st11U",1.75e-06,4.37e-07,8.77e-07,1.73e-06,2.65e-06,203
"21","Alpha",2015-07-23,"st11U",1.48e-06,3.69e-07,7.73e-07,1.5e-06,2.25e-06,204
"22","Alpha",2015-07-24,"st11U",2.11e-06,5.28e-07,1.15e-06,2.19e-06,3.23e-06,205
"23","Alpha",2015-07-25,"st11U",2.08e-06,5.2e-07,1.16e-06,2.07e-06,3.14e-06,206
"24","Alpha",2015-07-27,"st11U",2.84e-06,7.1e-07,1.5e-06,2.77e-06,4.14e-06,208
"25","Alpha",2015-07-28,"st11U",2.18e-06,5.45e-07,1.16e-06,2.18e-06,3.29e-06,209
"26","Alpha",2015-07-29,"st11U",3.1e-06,7.76e-07,1.69e-06,3.09e-06,4.71e-06,210
"27","Alpha",2015-07-30,"st11U",2.72e-06,6.81e-07,1.45e-06,2.63e-06,3.97e-06,211
"28","Alpha",2015-07-31,"st11U",2.42e-06,6.05e-07,1.33e-06,2.44e-06,3.58e-06,212
"29","Alpha",2015-08-01,"st11U",2.04e-06,5.1e-07,1.03e-06,2e-06,3e-06,213
"30","Alpha",2015-08-02,"st11U",2.28e-06,5.7e-07,1.25e-06,2.28e-06,3.37e-06,214
"31","Alpha",2015-08-03,"st11U",2.78e-06,6.96e-07,1.46e-06,2.87e-06,4.25e-06,215
"32","Alpha",2015-08-04,"st11U",2.67e-06,6.69e-07,1.42e-06,2.68e-06,3.89e-06,216
"33","Alpha",2015-08-05,"st11U",2.6e-06,6.49e-07,1.33e-06,2.55e-06,3.77e-06,217
"34","Alpha",2015-08-06,"st11U",4.24e-06,1.06e-06,2.28e-06,4.2e-06,6.12e-06,218
"35","Alpha",2015-08-07,"st11U",2.51e-06,6.26e-07,1.35e-06,2.51e-06,3.74e-06,219
"36","Alpha",2015-08-08,"st11U",2.69e-06,6.74e-07,1.54e-06,2.71e-06,4.03e-06,220
"37","Alpha",2015-08-09,"st11U",1.83e-06,4.58e-07,1e-06,1.82e-06,2.63e-06,221
"38","Alpha",2016-07-01,"st11U",1.02e-06,2.55e-07,5.37e-07,1.02e-06,1.49e-06,183
