"","parameter","metab_date","metab_stream","analysis_date","PriorMean","PriorSD","L95per","median","U95per"
"1","accept4df",2015-06-05,"st11U",2020-05-21 14:51:49,NA,NA,NA,0.191795,NA
"2","pmaxr",2015-06-05,"st11U",2020-05-21 14:51:49,0.0369433901851201,0.00923584754628003,0.0187048608343673,0.0363893771937702,0.0557350205950975
"3","alphar",2015-06-05,"st11U",2020-05-21 14:51:49,1.65306808051809e-06,4.13267020129522e-07,7.83599179228536e-07,1.65470896736602e-06,2.46167992238565e-06
"4","err",2015-06-05,"st11U",2020-05-21 14:51:49,-2.04223784039943,0.510559460099857,-3.16777463531352,-2.03967851805205,-1.02449293041945
"5","Kr",2015-06-05,"st11U",2020-05-21 14:51:49,340,85,153.933083052967,345.091788481331,516.306951492652
"6","DOgw",2015-06-05,"st11U",2020-05-21 14:51:49,9.68352403121102,4.17601973845975,5.13618007643078,9.94566790351625,14.6938122179584
"7","sr",2015-06-05,"st11U",2020-05-21 14:51:49,NA,NA,2.12349699726558,2.1491744052198,2.17581400118593
"8","bymed_GPP",2015-06-05,"st11U",2020-05-21 14:51:49,NA,NA,NA,6.29150803630026,NA
"9","BS_GPP",2015-06-05,"st11U",2020-05-21 14:51:49,NA,NA,3.48004233240112,6.05976421602586,8.58306391896731
"10","accept4df",2015-06-06,"st11U",2020-05-21 16:26:37,NA,NA,NA,0.193545,NA
"11","pmaxr",2015-06-06,"st11U",2020-05-21 16:26:37,0.0292502823947316,0.0073125705986829,0.0162177738674439,0.0295295261637943,0.0444828898283387
"12","alphar",2015-06-06,"st11U",2020-05-21 16:26:37,2.05451396569927e-06,5.13628491424816e-07,1.10172108995333e-06,2.07131985489918e-06,3.04039008463575e-06
"13","err",2015-06-06,"st11U",2020-05-21 16:26:37,-1.33767031224898,0.334417578062246,-1.98101505349284,-1.30334009272155,-0.667754985893682
"14","Kr",2015-06-06,"st11U",2020-05-21 16:26:37,340,85,194.796755823224,341.457217394174,518.843654526916
"15","DOgw",2015-06-06,"st11U",2020-05-21 16:26:37,9.55810783004116,4.12193400170525,4.987824449055,9.74046105065967,14.2758835607051
"16","sr",2015-06-06,"st11U",2020-05-21 16:26:37,NA,NA,2.11070156566304,2.13603927150932,2.1622742474095
"17","bymed_GPP",2015-06-06,"st11U",2020-05-21 16:26:37,NA,NA,NA,6.48632062314121,NA
"18","BS_GPP",2015-06-06,"st11U",2020-05-21 16:26:37,NA,NA,3.88588383174624,6.46177955921369,9.37971108343559
"19","accept4df",2015-06-07,"st11U",2020-05-21 18:00:48,NA,NA,NA,0.192445,NA
"20","pmaxr",2015-06-07,"st11U",2020-05-21 18:00:48,0.0306143520019615,0.00765358800049038,0.0156775540123316,0.0300587287299877,0.0442839351994354
"21","alphar",2015-06-07,"st11U",2020-05-21 18:00:48,2.13016390849462e-06,5.32540977123654e-07,1.0894460060941e-06,2.09326205129054e-06,3.13437830000321e-06
"22","err",2015-06-07,"st11U",2020-05-21 18:00:48,-1.45994872602248,0.364987181505619,-2.15858144357511,-1.48700552030045,-0.789201446333758
"23","Kr",2015-06-07,"st11U",2020-05-21 18:00:48,340,85,184.955806296925,338.197136769608,496.535385749342
"24","DOgw",2015-06-07,"st11U",2020-05-21 18:00:48,9.74985563539938,4.20462524276598,5.28020414642894,10.0376247297472,14.5728395143819
"25","sr",2015-06-07,"st11U",2020-05-21 18:00:48,NA,NA,2.12414377184834,2.14997676477001,2.17607079528609
"26","bymed_GPP",2015-06-07,"st11U",2020-05-21 18:00:48,NA,NA,NA,5.20134546956255,NA
"27","BS_GPP",2015-06-07,"st11U",2020-05-21 18:00:48,NA,NA,2.9897113868448,5.13638096715235,7.10719268056712
"28","accept4df",2015-06-09,"st11U",2020-05-21 19:34:59,NA,NA,NA,0.192545,NA
"29","pmaxr",2015-06-09,"st11U",2020-05-21 19:34:59,0.024107933941115,0.00602698348527875,0.0126208764100546,0.0245036043353039,0.037040659883544
"30","alphar",2015-06-09,"st11U",2020-05-21 19:34:59,1.85908732745886e-06,4.64771831864716e-07,9.57096480818132e-07,1.8486872823031e-06,2.8004741830792e-06
"31","err",2015-06-09,"st11U",2020-05-21 19:34:59,-0.452555920355868,0.113138980088967,-0.688004407706444,-0.449098412672979,-0.22102108442382
"32","Kr",2015-06-09,"st11U",2020-05-21 19:34:59,340,85,176.072583017865,338.175172863122,503.013025879423
"33","DOgw",2015-06-09,"st11U",2020-05-21 19:34:59,9.77668663976221,4.21619611339745,4.83813893007897,9.62503165726717,14.3474061959412
"34","sr",2015-06-09,"st11U",2020-05-21 19:34:59,NA,NA,2.12333876735513,2.14853983525417,2.1747824948052
"35","bymed_GPP",2015-06-09,"st11U",2020-05-21 19:34:59,NA,NA,NA,5.25371344349613,NA
"36","BS_GPP",2015-06-09,"st11U",2020-05-21 19:34:59,NA,NA,3.08307823643367,5.16239687524097,7.09945404215258
"37","accept4df",2015-06-10,"st11U",2020-05-21 21:09:16,NA,NA,NA,0.19195,NA
"38","pmaxr",2015-06-10,"st11U",2020-05-21 21:09:16,0.0248993970045328,0.00622484925113319,0.0132720133338131,0.0247755893761999,0.0372084935958979
"39","alphar",2015-06-10,"st11U",2020-05-21 21:09:16,1.69834859809734e-06,4.24587149524335e-07,8.99742096391436e-07,1.72027700410976e-06,2.49688518156228e-06
"40","err",2015-06-10,"st11U",2020-05-21 21:09:16,-0.98403166411629,0.246007916029073,-1.45090612560144,-0.99053679772384,-0.474085482136303
"41","Kr",2015-06-10,"st11U",2020-05-21 21:09:16,340,85,167.597385899145,345.019891930716,520.547682537697
"42","DOgw",2015-06-10,"st11U",2020-05-21 21:09:16,9.71216894048285,4.18837285558323,5.275646425694,9.71382468509172,14.4592179901069
"43","sr",2015-06-10,"st11U",2020-05-21 21:09:16,NA,NA,2.11619888543557,2.14153443386556,2.16745599496451
"44","bymed_GPP",2015-06-10,"st11U",2020-05-21 21:09:16,NA,NA,NA,5.16538267980773,NA
"45","BS_GPP",2015-06-10,"st11U",2020-05-21 21:09:16,NA,NA,3.09449604837308,5.04467183433669,7.02911381755855
"46","accept4df",2015-06-11,"st11U",2020-05-21 22:43:37,NA,NA,NA,0.19332,NA
"47","pmaxr",2015-06-11,"st11U",2020-05-21 22:43:37,0.0188317473360901,0.00470793683402253,0.00981721516887073,0.0188847237925579,0.02715136910446
"48","alphar",2015-06-11,"st11U",2020-05-21 22:43:37,1.39701858879042e-06,3.49254647197606e-07,6.87078032211165e-07,1.36069884635895e-06,1.97664261287565e-06
"49","err",2015-06-11,"st11U",2020-05-21 22:43:37,-0.937659850136484,0.234414962534121,-1.41338873121004,-0.932571064123611,-0.500659168237105
"50","Kr",2015-06-11,"st11U",2020-05-21 22:43:37,340,85,169.023673782773,343.418797693067,489.20615780503
"51","DOgw",2015-06-11,"st11U",2020-05-21 22:43:37,9.59656378906415,4.13851813403391,5.02671725699727,9.78293828211791,14.1596145076447
"52","sr",2015-06-11,"st11U",2020-05-21 22:43:37,NA,NA,2.10547018979422,2.13074582594904,2.15715983175749
"53","bymed_GPP",2015-06-11,"st11U",2020-05-21 22:43:37,NA,NA,NA,4.40231352622649,NA
"54","BS_GPP",2015-06-11,"st11U",2020-05-21 22:43:37,NA,NA,2.49015305444147,4.36688621597075,5.97486790127926
"55","accept4df",2015-06-12,"st11U",2020-05-22 00:17:33,NA,NA,NA,0.192145,NA
"56","pmaxr",2015-06-12,"st11U",2020-05-22 00:17:33,0.0237220856961221,0.00593052142403053,0.0120511488365409,0.0227909459642012,0.0341246663748866
"57","alphar",2015-06-12,"st11U",2020-05-22 00:17:33,2.01925948937362e-06,5.04814872343405e-07,9.71967961552193e-07,2.01371096927664e-06,2.96729888142958e-06
"58","err",2015-06-12,"st11U",2020-05-22 00:17:33,-3.04732965776185,0.761832414440461,-4.535804168274,-2.97566237343121,-1.39923681718213
"59","Kr",2015-06-12,"st11U",2020-05-22 00:17:33,340,85,170.084170639261,330.280053765606,512.990313503032
"60","DOgw",2015-06-12,"st11U",2020-05-22 00:17:33,9.7506358200054,4.20496169737733,5.22068846961549,9.93092627265782,14.3510685872923
