(Intercept),invKT.C.StMean,s(LightPerDay.lcg),treatment,invKT.C.StMean:treatment,stream,stream:treatment,df,logLik,AICc,delta,weight
-0.44599369674784506,-1.3618973705490716,+,+,NA,NA,NA,8,69.82809942736066,-123.09588757067462,0,0.561218643957944
-0.5194124609946549,-1.626562920087304,+,+,+,NA,NA,9,70.40418348639611,-122.10524197279221,0.9906455978824056,0.341992145467028
-0.493527438380437,NA,+,+,NA,+,NA,10,69.90227925794449,-118.94181341784976,4.154074152824862,0.0703212122906863
-0.42777858202595503,NA,+,+,NA,+,+,13,72.129068288204,-116.81369213196355,6.282195438711071,0.0242644629500737
-0.06993565483634116,NA,+,+,NA,NA,NA,7,62.52846119036923,-110.62281385360667,12.473073717067948,0.00109809154149334
-0.06993565483634116,NA,+,+,NA,NA,NA,7,62.52846119036923,-110.62281385360667,12.473073717067948,0.00109809154149334
0.891735502912972,NA,+,NA,NA,NA,NA,6,55.387927470659804,-98.45153061699529,24.644356953679335,2.49849205380758e-06
0.891735502912972,NA,+,NA,NA,NA,NA,6,55.387927470659804,-98.45153061699529,24.644356953679335,2.49849205380758e-06
0.49311340058852726,-1.4967960954448922,+,NA,NA,NA,NA,7,56.268102213681914,-98.10209590023204,24.993791670442576,2.09796958563224e-06
0.4944635103946213,NA,+,NA,NA,+,NA,9,56.30411850104673,-93.90511200209346,29.19077556858116,2.57297587477843e-07
