(Intercept),invKT.C.StMean,s(LightPerDay.lcg),treatment,invKT.C.StMean:treatment,stream,stream:treatment,df,logLik,AICc,delta,weight
0.18207800670007543,-1.2794458574819398,+,+,NA,NA,NA,8,25.922331755911443,-35.284352227776196,0,0.527755879339603
0.28909154597657144,NA,+,+,NA,+,NA,10,27.325955683047255,-33.7891662680553,1.4951859597208994,0.249895004387175
0.15654246171067782,-1.3727626067017373,+,+,+,NA,NA,9,25.978994381736413,-33.25486376347283,2.0294884643033697,0.191308937449436
0.31114817841207937,NA,+,+,NA,+,+,13,27.80620368525149,-28.167962926058532,7.116389301717664,0.0150358774645166
0.5322732589311163,-1.2993505525032087,+,NA,NA,NA,NA,7,20.507699272235357,-26.58129001733893,8.703062210437267,0.0068012248559438
0.5234857502594145,NA,+,+,NA,NA,NA,7,19.75364969977261,-25.073190872413434,10.211161355362762,0.00319968750187401
0.5234857502594145,NA,+,+,NA,NA,NA,7,19.75364969977261,-25.073190872413434,10.211161355362762,0.00319968750187401
0.6332933431419162,NA,+,NA,NA,+,NA,9,21.128947325118077,-23.554769650236153,11.729582577540043,0.00149756811874593
0.9074770022309302,NA,+,NA,NA,NA,NA,6,17.109628423349307,-21.89493252237429,13.389419705401906,0.000653066690415698
0.9074770022309302,NA,+,NA,NA,NA,NA,6,17.109628423349307,-21.89493252237429,13.389419705401906,0.000653066690415698
