(Intercept),invKT.C.StMean,s(LightPerDay.lcg),treatment,invKT.C.StMean:treatment,stream,stream:treatment,df,logLik,AICc,delta,weight
0.40487187120937507,NA,+,+,NA,+,NA,10,23.29967664731197,-25.816435145157747,0,0.256321076127075
0.5427745336246156,NA,+,NA,NA,+,NA,9,22.14175599217384,-25.64521411200726,0.17122103315048776,0.235290364647236
0.3106885744839076,-1.5249170741866331,+,NA,NA,NA,NA,7,19.955854924229868,-25.51734365127664,0.29909149388110734,0.220717833731019
0.1587596781816881,-1.5224510155542452,+,+,NA,NA,NA,8,20.8066347497724,-25.104435577283315,0.7119995678744324,0.179545934609442
0.19927100367364964,-1.374699361494628,+,+,+,NA,NA,9,20.88762958793842,-23.136961303536417,2.6794738416213306,0.0671342228436468
0.35926437317454446,NA,+,+,NA,+,+,13,24.219569041300076,-21.129785564614544,4.686649580543204,0.0246088484652404
0.7414295799520753,NA,+,NA,NA,NA,NA,6,15.179094627376173,-18.06345241264708,7.752982732510667,0.00531184639944679
0.7414295799520753,NA,+,NA,NA,NA,NA,6,15.179094627376173,-18.06345241264708,7.752982732510667,0.00531184639944679
0.5636438970839917,NA,+,+,NA,NA,NA,7,15.616417471021919,-16.83846874486074,8.977966400297007,0.00287901338872292
0.5636438970839917,NA,+,+,NA,NA,NA,7,15.616417471021919,-16.83846874486074,8.977966400297007,0.00287901338872292
