(Intercept),invKT.C.StMean,s(LightPerDay.lcg),treatment,invKT.C.StMean:treatment,stream,stream:treatment,df,logLik,AICc,delta,weight
0.43403165889232925,-1.387350354729552,+,+,+,NA,NA,9,-299.6284959624846,617.9601169249692,0,0.43661321973869
0.8041077977839843,NA,+,+,NA,NA,NA,7,-302.532747387199,619.4996033015298,1.5394863765606033,0.202209549651123
0.8041077977839843,NA,+,+,NA,NA,NA,7,-302.532747387199,619.4996033015298,1.5394863765606033,0.202209549651123
1.0317092371339536,0.8373306910322551,+,+,NA,NA,NA,8,-302.22849354773047,621.0172983795077,3.0571814545385223,0.094675664756578
0.6087923072074893,NA,+,+,NA,+,+,13,-297.7936471348698,623.031738714184,5.071621789214873,0.0345786634268187
1.5637949007575833,NA,+,+,NA,+,NA,10,-301.35387031719387,623.570485732427,5.610368807457803,0.0264131850387249
-0.9019251914799213,NA,+,NA,NA,NA,NA,6,-308.5970588995346,629.5184421233935,11.558325198424313,0.00134970374912852
-0.9019251914799213,NA,+,NA,NA,NA,NA,6,-308.5970588995346,629.5184421233935,11.558325198424313,0.00134970374912852
-0.6264092857913833,1.0372877346565401,+,NA,NA,NA,NA,7,-308.48145695825286,631.3970224436375,13.436905518668368,0.000527606236952478
-0.19764693066261704,NA,+,NA,NA,+,NA,9,-308.32273213214063,635.3485892642813,17.388472339312102,7.31540017327208e-05
