(Intercept),invKT.C.StMean,s(LightPerDay.lcg),treatment,invKT.C.StMean:treatment,stream,stream:treatment,df,logLik,AICc,delta,weight
0.769651626139373,NA,+,+,NA,+,+,13,-132.1463291773129,291.6020108726114,0,0.577549016426656
0.9320584858389386,NA,+,+,NA,NA,NA,7,-140.30955992037724,295.0134860379376,3.4114751653261806,0.104905058154273
0.9320584858389386,NA,+,+,NA,NA,NA,7,-140.30955992037724,295.0134860379376,3.4114751653261806,0.104905058154273
0.6570770405910361,NA,+,+,NA,+,NA,10,-137.4194768041179,295.62187175770197,4.019860885090566,0.0773904101600174
0.807721173050139,-0.4668035061880567,+,+,NA,NA,NA,8,-140.25348004974825,297.015794021758,5.413783149146582,0.0385479045229303
-0.14956822763965627,NA,+,NA,NA,NA,NA,6,-142.55266615521754,297.4000691525403,5.7980582799289095,0.0318094741849782
-0.14956822763965627,NA,+,NA,NA,NA,NA,6,-142.55266615521754,297.4000691525403,5.7980582799289095,0.0318094741849782
0.5815238591218904,-1.317189693103461,+,+,+,NA,NA,9,-140.06132770066841,298.7609532736773,7.158942401065872,0.0161080978113145
-0.2707902316486528,-0.45720265168349045,+,NA,NA,NA,NA,7,-142.52281844615703,299.44000308949717,7.837992216885766,0.0114707143295594
-0.4668355345246162,NA,+,NA,NA,+,NA,9,-141.13503081732955,300.90835950699955,9.306348634388144,0.00550479207101936
